institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Antigua State College,Antigua and Barbuda,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-01-01,Antiguan,Full Time,Educational Leadership,Educational Leadership,12
Antigua State College,Antigua and Barbuda,Williams,David,M,VP,Masters,14,32,N,Y,1976-02-04,Antiguan,Full Time,Mathematics,STEM,18
Antigua State College,Antigua and Barbuda,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-03-07,Antiguan,Full Time,Nursing,Health Sciences,24
Antigua State College,Antigua and Barbuda,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-04-10,Antiguan,Full Time,Computer Science,Information Technology,28
Antigua State College,Antigua and Barbuda,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-05-13,Antiguan,Full Time,English Language,Humanities & Education,30
Antigua State College,Antigua and Barbuda,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-06-16,Antiguan,Full Time,Civil Engineering,Engineering & Technology,26
Antigua State College,Antigua and Barbuda,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-07-19,Antiguan,Full Time,Hospitality Management,Hospitality & Tourism,28
Antigua State College,Antigua and Barbuda,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-08-22,Antiguan,Part Time,Culinary Arts,Hospitality & Tourism,16
Antigua State College,Antigua and Barbuda,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-09-25,Antiguan,Full Time,Accounting,Business & Management,30
Antigua State College,Antigua and Barbuda,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-10-01,Antiguan,Full Time,Business Administration,Business & Management,28
Antigua State College,Antigua and Barbuda,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-11-04,Antiguan,Full Time,Medical Laboratory Technology,Health Sciences,24
