institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Kingston Community College,Jamaica,Brown,Sophia,F,PR,PhD,18,45,N,Y,1972-04-12,Jamaican,Full Time,Educational Leadership,Educational Leadership,15
Kingston Community College,Jamaica,Williams,David,M,VP,Masters,14,32,N,Y,1976-08-23,Jamaican,Full Time,Mathematics,STEM,18
Kingston Community College,Jamaica,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-11-05,Jamaican,Full Time,Biology,Health Sciences,24
Kingston Community College,Jamaica,Clarke,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-03-17,Jamaican,Full Time,Computer Science,Technology,28
Kingston Community College,Jamaica,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-07-30,Jamaican,Full Time,English Language,Humanities,30
Kingston Community College,Jamaica,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-12-14,Jamaican,Full Time,History,Social Sciences,26
Kingston Community College,Jamaica,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-05-28,Jamaican,Full Time,Spanish,Languages,28
Kingston Community College,Jamaica,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-09-11,Jamaican,Part Time,Art & Design,Creative Arts,16
Kingston Community College,Jamaica,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-02-19,Jamaican,Full Time,Accounting,Business & Finance,30
Kingston Community College,Jamaica,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-06-07,Jamaican,Full Time,Economics,Business & Finance,28
Kingston Community College,Jamaica,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-10-23,Jamaican,Full Time,Chemistry,STEM,24
Kingston Community College,Jamaica,Mitchell,Calvin,M,TT,CAPE,2,10,N,N,1988-04-15,Jamaican,Contract,Physical Education,Health Sciences,20
