institution,territory,surname,first_name,sex,classification,highest_qualification,years_experience,cpd,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Montego Bay Teachers College,Jamaica,James,Sandra,F,PR,PhD,21,50,N,Y,1969-03-08,Jamaican,Full Time,Educational Leadership,Educational Leadership,12
Montego Bay Teachers College,Jamaica,Alexander,Byron,M,VP,Masters,16,35,N,Y,1974-07-22,Jamaican,Full Time,Mathematics,STEM,16
Montego Bay Teachers College,Jamaica,Charles,Stacey,F,HOD,Masters,12,28,Yes,Y,1978-11-14,Jamaican,Full Time,Science,STEM,22
Montego Bay Teachers College,Jamaica,Antoine,Winston,M,HOD,Bachelors,8,15,N,Y,1982-05-03,Jamaican,Full Time,Geography,Social Sciences,26
Montego Bay Teachers College,Jamaica,Phillip,Michelle,F,TT,Bachelors,5,8,N,Y,1985-08-18,Jamaican,Full Time,English Language,Humanities,30
Montego Bay Teachers College,Jamaica,Gabriel,Clive,M,TT,Diploma,3,0,Yes,N,1987-12-05,Jamaican,Part Time,Music,Creative Arts,18
Montego Bay Teachers College,Jamaica,Pierre,Alicia,F,TT,PostGradDiploma,6,22,N,Y,1984-04-25,Jamaican,Full Time,French,Languages,28
Montego Bay Teachers College,Jamaica,Baptiste,Curtis,M,TT,Bachelors,10,30,N,Y,1980-09-17,Jamaican,Full Time,Information Technology,Technology,28
Montego Bay Teachers College,Jamaica,Sewell,Cheryl,F,TT,Bachelors,4,6,N,N,1986-01-29,Jamaican,Full Time,Business Studies,Business & Finance,28
Montego Bay Teachers College,Jamaica,Dawson,Ivan,M,TT,Masters,28,45,N,Y,1962-06-14,Jamaican,Full Time,History,Social Sciences,24
Montego Bay Teachers College,Jamaica,Green,Nadine,F,TT,CAPE,1,4,Y,No,1989-03-11,Jamaican,Contract,Environmental Science,Environmental Studies,20
Montego Bay Teachers College,Jamaica,Morrison,Norman,M,TT,Diploma,7,0,N,Y,1983-10-22,Jamaican,Full Time,Social Studies,Social Sciences,26
