institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
H. Lavity Stoutt Community College,British Virgin Islands,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-03-01,Virgin Islander,Full Time,Educational Leadership,Educational Leadership,12
H. Lavity Stoutt Community College,British Virgin Islands,Williams,David,M,VP,Masters,14,32,N,Y,1976-04-04,Virgin Islander,Full Time,Mathematics,STEM,18
H. Lavity Stoutt Community College,British Virgin Islands,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-05-07,Virgin Islander,Full Time,Nursing,Health Sciences,24
H. Lavity Stoutt Community College,British Virgin Islands,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-06-10,Virgin Islander,Full Time,Computer Science,Information Technology,28
H. Lavity Stoutt Community College,British Virgin Islands,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-07-13,Virgin Islander,Full Time,English Language,Humanities & Education,30
H. Lavity Stoutt Community College,British Virgin Islands,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-08-16,Virgin Islander,Full Time,Civil Engineering,Engineering & Technology,26
H. Lavity Stoutt Community College,British Virgin Islands,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-09-19,Virgin Islander,Full Time,Hospitality Management,Hospitality & Tourism,28
H. Lavity Stoutt Community College,British Virgin Islands,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-10-22,Virgin Islander,Part Time,Culinary Arts,Hospitality & Tourism,16
H. Lavity Stoutt Community College,British Virgin Islands,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-11-25,Virgin Islander,Full Time,Accounting,Business & Management,30
H. Lavity Stoutt Community College,British Virgin Islands,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-12-01,Virgin Islander,Full Time,Business Administration,Business & Management,28
H. Lavity Stoutt Community College,British Virgin Islands,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-01-04,Virgin Islander,Full Time,Medical Laboratory Technology,Health Sciences,24
