institution,territory,surname,first_name,sex,classification,highest_qualification,experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Northern Caribbean University,Jamaica,Palmer,Theresa,F,PR,PhD,26,55,N,Y,1964-05-17,Jamaican,Full Time,Educational Administration,Educational Leadership,10
Northern Caribbean University,Jamaica,Reid,Patrick,M,VP,PhD,19,42,N,Y,1971-09-04,Jamaican,Full Time,Research Methods,Social Sciences,14
Northern Caribbean University,Jamaica,Bennett,Lydia,F,HOD,Masters,14,33,N,Y,1976-02-28,Jamaican,Full Time,Nursing,Health Sciences,22
Northern Caribbean University,Jamaica,McKenzie,Stanley,M,HOD,Masters,10,24,N,Y,1980-07-15,Jamaican,Full Time,Computer Science,Technology,24
Northern Caribbean University,Jamaica,Allen,Janet,F,TT,Bachelors,7,14,N,yes,1983-12-09,Jamaican,Full Time,Biology,STEM,28
Northern Caribbean University,Jamaica,Barrett,Derek,M,TT,PostGradDiploma,5,10,N,N,1985-04-21,Jamaican,Full Time,Mathematics,STEM,28
Northern Caribbean University,Jamaica,Cooke,Monica,F,TT,Bachelors,3,6,N,N,1987-08-13,Jamaican,Full Time,Psychology,Social Sciences,26
Northern Caribbean University,Jamaica,Douglas,Clarence,M,TT,Bachelors,2,5,N,N,1988-03-07,Jamaican,Full Time,Accounting,Business & Finance,28
Northern Caribbean University,Jamaica,Ellis,Deborah,F,TT,Masters,30,50,N,Y,1960-11-30,Jamaican,Full Time,Theology,Humanities,22
Northern Caribbean University,Jamaica,Forbes,Anthony,M,TT,Diploma,4,0,N,yes,1986-06-25,Jamaican,Part Time,Music,Creative Arts,16
Northern Caribbean University,Jamaica,Gordon,Priya,F,TT,PostGradDiploma,8,18,Y,Y,1982-01-17,Jamaican,Full Time,Chemistry,STEM,26
Northern Caribbean University,Jamaica,Henry,Michael,M,TT,CAPE,1,3,N,N,1989-09-28,Jamaican,Contract,Physical Education,Health Sciences,20
