institution,territory,last_name,first_name,sex,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Monroe College LC,Saint Lucia,Joseph,Sophia,F,PR,PhD,20,46,N,Y,1970-08-28,Saint Lucian,Full Time,Business Administration,Business & Finance,12
Monroe College LC,Saint Lucia,Louisy,Calvin,M,VP,Masters,15,34,N,Y,1975-12-11,Saint Lucian,Full Time,Hospitality Management,Business & Finance,16
Monroe College LC,Saint Lucia,Monplaisir,Michelle,F,HOD,Masters,11,25,N,Y,1979-05-04,Saint Lucian,Full Time,Computer Science,Technology,24
Monroe College LC,Saint Lucia,Nestor,Gerald,Female,TT,Bachelors,7,14,N,Y,1983-09-17,Saint Lucian,Full Time,Mathematics,STEM,28
Monroe College LC,Saint Lucia,Odlum,Patricia,F,TT,Bachelors,5,8,N,Y,1985-03-26,Saint Lucian,Full Time,English Language,Humanities,30
Monroe College LC,Saint Lucia,Phillip,Byron,M,TT,PostGradDiploma,9,20,N,Y,1981-07-13,Saint Lucian,Full Time,Economics,Business & Finance,28
Monroe College LC,Saint Lucia,Quashie,Stacey,F,TT,Bachelors,3,6,N,N,1987-01-24,Saint Lucian,Full Time,Tourism,Business & Finance,26
Monroe College LC,Saint Lucia,Renard,Clive,Male,TT,Diploma,2,0,N,N,1988-10-07,Saint Lucian,Part Time,Sport Science,Health Sciences,16
Monroe College LC,Saint Lucia,Simon,Cheryl,F,TT,Masters,18,40,N,Y,1972-06-30,Saint Lucian,Full Time,Accounting,Business & Finance,24
Monroe College LC,Saint Lucia,Thomas,Anthony,M,TT,Bachelors,6,12,N,Y,1984-04-18,Saint Lucian,Full Time,Marketing,Business & Finance,28
Monroe College LC,Saint Lucia,Ulric,Nadine,F,TT,Diploma,4,0,Y,N,1986-11-05,Saint Lucian,Part Time,Culinary Arts,Creative Arts,18
Monroe College LC,Saint Lucia,Valcin,Derek,M,TT,Bachelors,12,22,N,Y,1978-02-14,Saint Lucian,Full Time,Information Technology,Technology,28
