institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
T.A. Marryshow Community College,Grenada,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-05-01,Grenadian,Full Time,Educational Leadership,Educational Leadership,12
T.A. Marryshow Community College,Grenada,Williams,David,M,VP,Masters,14,32,N,Y,1976-06-04,Grenadian,Full Time,Mathematics,STEM,18
T.A. Marryshow Community College,Grenada,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-07-07,Grenadian,Full Time,Nursing,Health Sciences,24
T.A. Marryshow Community College,Grenada,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-08-10,Grenadian,Full Time,Computer Science,Information Technology,28
T.A. Marryshow Community College,Grenada,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-09-13,Grenadian,Full Time,English Language,Humanities & Education,30
T.A. Marryshow Community College,Grenada,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-10-16,Grenadian,Full Time,Civil Engineering,Engineering & Technology,26
T.A. Marryshow Community College,Grenada,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-11-19,Grenadian,Full Time,Hospitality Management,Hospitality & Tourism,28
T.A. Marryshow Community College,Grenada,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-12-22,Grenadian,Part Time,Culinary Arts,Hospitality & Tourism,16
T.A. Marryshow Community College,Grenada,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-01-25,Grenadian,Full Time,Accounting,Business & Management,30
T.A. Marryshow Community College,Grenada,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-02-01,Grenadian,Full Time,Business Administration,Business & Management,28
T.A. Marryshow Community College,Grenada,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-03-04,Grenadian,Full Time,Medical Laboratory Technology,Health Sciences,24
