institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Montserrat Community College,Montserrat,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-06-01,Montserratian,Full Time,Educational Leadership,Educational Leadership,12
Montserrat Community College,Montserrat,Williams,David,M,VP,Masters,14,32,N,Y,1976-07-04,Montserratian,Full Time,Mathematics,STEM,18
Montserrat Community College,Montserrat,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-08-07,Montserratian,Full Time,Nursing,Health Sciences,24
Montserrat Community College,Montserrat,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-09-10,Montserratian,Full Time,Computer Science,Information Technology,28
Montserrat Community College,Montserrat,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-10-13,Montserratian,Full Time,English Language,Humanities & Education,30
Montserrat Community College,Montserrat,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-11-16,Montserratian,Full Time,Civil Engineering,Engineering & Technology,26
Montserrat Community College,Montserrat,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-12-19,Montserratian,Full Time,Hospitality Management,Hospitality & Tourism,28
Montserrat Community College,Montserrat,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-01-22,Montserratian,Part Time,Culinary Arts,Hospitality & Tourism,16
Montserrat Community College,Montserrat,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-02-25,Montserratian,Full Time,Accounting,Business & Management,30
Montserrat Community College,Montserrat,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-03-01,Montserratian,Full Time,Business Administration,Business & Management,28
Montserrat Community College,Montserrat,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-04-04,Montserratian,Full Time,Medical Laboratory Technology,Health Sciences,24
