institution,territory,surname,first_name,Gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Samuel Jackman Prescod Polytechnic,Barbados,Barrow,Maxine,F,PR,PhD,24,52,N,Y,1966-09-11,Barbadian,Full Time,Engineering,STEM,10
Samuel Jackman Prescod Polytechnic,Barbados,Beckles,Carlisle,M,VP,Masters,18,40,N,Y,1972-01-24,Barbadian,Full Time,Electronics,Technology,16
Samuel Jackman Prescod Polytechnic,Barbados,Caddle,Sharon,F,HOD,Masters,14,30,N,Y,1976-06-07,Barbadian,Full Time,Applied Chemistry,STEM,22
Samuel Jackman Prescod Polytechnic,Barbados,Drakes,Donovan,M,HOD,Bachelor's Degree,10,18,N,Y,1980-10-19,Barbadian,Full Time,Mechanical Engineering,Technology,26
Samuel Jackman Prescod Polytechnic,Barbados,Edwards,Roslyn,F,TT,Bachelors,6,12,N,Y,1984-03-03,Barbadian,Full Time,Mathematics,STEM,30
Samuel Jackman Prescod Polytechnic,Barbados,Forde,Grantley,M,TT,Post-Grad Diploma,5,10,N,N,1985-07-28,Barbadian,Full Time,Computer Networking,Technology,28
Samuel Jackman Prescod Polytechnic,Barbados,Greenidge,Evelyn,F,TT,Bachelors,3,6,N,N,1987-11-22,Barbadian,Full Time,Building Technology,Technology,26
Samuel Jackman Prescod Polytechnic,Barbados,Hunte,Keith,M,TT,Diploma,2,0,N,N,1988-05-09,Barbadian,Part Time,Welding,Technology,18
Samuel Jackman Prescod Polytechnic,Barbados,Inniss,Felicia,F,TT,Masters,22,44,N,Y,1968-08-16,Barbadian,Full Time,Business Studies,Business & Finance,24
Samuel Jackman Prescod Polytechnic,Barbados,Jordan,Errol,M,TT,Bachelors,8,16,N,Y,1982-12-30,Barbadian,Full Time,Electrical Engineering,Technology,28
Samuel Jackman Prescod Polytechnic,Barbados,King,Tricia,F,TT,Post Graduate Diploma,4,8,Y,Y,1986-04-14,Barbadian,Full Time,English Language,Humanities,28
Samuel Jackman Prescod Polytechnic,Barbados,Lashley,Norman,M,TT,CAPE,1,3,N,N,1989-01-27,Barbadian,Contract,Automotive Technology,Technology,20
