institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-07-01,Kittitian,Full Time,Educational Leadership,Educational Leadership,12
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Williams,David,M,VP,Masters,14,32,N,Y,1976-08-04,Kittitian,Full Time,Mathematics,STEM,18
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-09-07,Kittitian,Full Time,Nursing,Health Sciences,24
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-10-10,Kittitian,Full Time,Computer Science,Information Technology,28
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-11-13,Kittitian,Full Time,English Language,Humanities & Education,30
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-12-16,Kittitian,Full Time,Civil Engineering,Engineering & Technology,26
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-01-19,Kittitian,Full Time,Hospitality Management,Hospitality & Tourism,28
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-02-22,Kittitian,Part Time,Culinary Arts,Hospitality & Tourism,16
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-03-25,Kittitian,Full Time,Accounting,Business & Management,30
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-04-01,Kittitian,Full Time,Business Administration,Business & Management,28
Clarence Fitzroy Bryant College,Saint Kitts and Nevis,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-05-04,Kittitian,Full Time,Medical Laboratory Technology,Health Sciences,24
