institution,territory,surname,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Browne,Sophia,F,PR,PhD,18,45,N,Y,1972-09-01,Vincentian,Full Time,Educational Leadership,Educational Leadership,12
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Williams,David,M,VP,Masters,14,32,N,Y,1976-10-04,Vincentian,Full Time,Mathematics,STEM,18
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Joseph,Angela,F,HOD,Masters,11,25,N,Y,1979-11-07,Vincentian,Full Time,Nursing,Health Sciences,24
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Charles,Marcus,Male,HOD,Bachelors,9,18,N,Y,1981-12-10,Vincentian,Full Time,Computer Science,Information Technology,28
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Thomas,Karen,F,TT,Bachelors,6,12,N,Y,1984-01-13,Vincentian,Full Time,English Language,Humanities & Education,30
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Lewis,Ricardo,M,TT,PostGradDiploma,4,8,N,N,1986-02-16,Vincentian,Full Time,Civil Engineering,Engineering & Technology,26
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Francis,Donna,Female,TT,Bachelors,7,0,N,Y,1983-03-19,Vincentian,Full Time,Hospitality Management,Hospitality & Tourism,28
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Campbell,Wayne,M,TT,Diploma,3,0,Y,N,1987-04-22,Vincentian,Part Time,Culinary Arts,Hospitality & Tourism,16
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Richards,Maxine,F,TT,PostGradDiploma,5,20,N,Y,1985-05-25,Vincentian,Full Time,Accounting,Business & Management,30
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Robinson,Gerald,male,TT,Masters,22,40,N,Y,1968-06-01,Vincentian,Full Time,Business Administration,Business & Management,28
St. Vincent and the Grenadines Community College,Saint Vincent and the Grenadines,Edwards,Patricia,F,TT,Bachelors,1,5,N,N,1989-07-04,Vincentian,Full Time,Medical Laboratory Technology,Health Sciences,24
