institution,territory,last_name,first_name,gender,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
UTT San Fernando,Trinidad and Tobago,Mohammed,Fatimah,F,PR,PhD,25,54,N,Y,1965-11-22,Trinidadian,Full Time,Chemical Engineering,STEM,10
UTT San Fernando,Trinidad and Tobago,Narine,Vijay,M,VP,PhD,20,45,N,Y,1970-03-15,Trinidadian,Full Time,Mathematics,STEM,14
UTT San Fernando,Trinidad and Tobago,Olton,Camille,F,HOD,Masters,13,28,N,Y,1977-07-08,Trinidadian,Full Time,Civil Engineering,Technology,22
UTT San Fernando,Trinidad and Tobago,Persad,Devan,Female,HOD,Masters,10,22,N,Y,1980-12-01,Trinidadian,Full Time,Electrical Engineering,Technology,24
UTT San Fernando,Trinidad and Tobago,Ramkissoon,Sushila,F,TT,Masters,8,18,N,Y,1982-05-24,Trinidadian,Full Time,Computer Science,Technology,28
UTT San Fernando,Trinidad and Tobago,Seepersad,Rajiv,M,TT,Bachelors,6,12,N,N,1984-09-17,Trinidadian,Full Time,Mathematics,STEM,28
UTT San Fernando,Trinidad and Tobago,Telesford,Simone,Male,TT,Bachelors,4,8,N,N,1986-02-06,Trinidadian,Full Time,Chemistry,STEM,26
UTT San Fernando,Trinidad and Tobago,Usman,Kareem,M,TT,PostGradDiploma,3,6,N,N,1987-06-19,Trinidadian,Full Time,Physics,STEM,26
UTT San Fernando,Trinidad and Tobago,Ventour,Sheryl,F,TT,Bachelors,30,50,N,Y,1960-01-13,Trinidadian,Full Time,English Language,Humanities,22
UTT San Fernando,Trinidad and Tobago,Wilson,Gervase,M,TT,Diploma,2,0,N,N,1988-11-30,Trinidadian,Part Time,Environmental Science,Environmental Studies,16
UTT San Fernando,Trinidad and Tobago,Xavier,Lavinia,F,TT,Bachelors,5,10,Y,Y,1985-08-27,Trinidadian,Full Time,Sociology,Social Sciences,26
UTT San Fernando,Trinidad and Tobago,Yorke,Desmond,M,TT,CAPE,1,3,N,N,1989-04-09,Trinidadian,Contract,Technical Drawing,Technology,20
