institution,territory,surname,first_name,sex,classification,highest_qualification,years_experience,cpd_hours,left_service,appraised_last_year,date_of_birth,nationality,teacher_type,subjects,area_of_specialisation,total_periods
T.A. Marryshow Community College,Grenada,Alexis,Beverley,F,PR,PhD,21,47,N,Y,1969-08-30,Grenadian,Full Time,Educational Administration,Educational Leadership,12
T.A. Marryshow Community College,Grenada,Belfon,Eustace,M,VP,Masters,16,36,No,Y,1974-12-16,Grenadian,Full Time,Sciences,STEM,16
T.A. Marryshow Community College,Grenada,Charles,Nadira,F,HOD,Masters,12,27,N,Y,1978-05-03,Grenadian,Full Time,Biology,STEM,24
T.A. Marryshow Community College,Grenada,Downes,Kevin,M,HOD,Bachelors,9,18,N,Y,1981-10-20,Grenadian,Full Time,Mathematics,STEM,26
T.A. Marryshow Community College,Grenada,Emmanuel,Shirley,F,TT,Bachelors,6,12,N,Y,1984-03-11,Grenadian,Full Time,English Language,Humanities,30
T.A. Marryshow Community College,Grenada,Fedon,Lancelot,M,TT,PostGradDiploma,4,8,No,N,1986-07-25,Grenadian,Full Time,History,Social Sciences,28
T.A. Marryshow Community College,Grenada,George,Cynthia,F,TT,Bachelors,8,16,N,Y,1982-01-14,Grenadian,Full Time,Information Technology,Technology,28
T.A. Marryshow Community College,Grenada,Humphrey,Gregory,M,TT,Diploma,3,0,N,N,1987-05-07,Grenadian,Part Time,Carpentry,Technology,18
T.A. Marryshow Community College,Grenada,Isaac,Claudette,F,TT,Masters,19,42,N,Y,1971-09-27,Grenadian,Full Time,Business Studies,Business & Finance,24
T.A. Marryshow Community College,Grenada,John,Rennie,M,TT,Bachelors,7,14,Yes,Y,1983-02-22,Grenadian,Full Time,Accounting,Business & Finance,28
T.A. Marryshow Community College,Grenada,King,Veronica,F,TT,Diploma,2,0,Y,N,1988-12-18,Grenadian,Part Time,Home Economics,Creative Arts,16
T.A. Marryshow Community College,Grenada,La Grenade,Bernard,M,TT,Bachelors,13,24,N,Y,1977-06-04,Grenadian,Full Time,Chemistry,STEM,26
