Institution,Country,Surname,First Name,Classification,Teacher Type,Subjects Taught,Total Periods,Years Teaching,DOB,Nationality,Highest Qualification,Area of Specialisation,CPD Hours Past Year,Appraised Last Year,Left Service This Year,Gender
Kingston Community College,Jamaica,Alexander,Jane,HOD,Full Time,Spanish,28,12,29-Aug-1985,JAM,Masters,Linguistics,40,Yes,No,Female
Kingston Community College,Jamaica,Brown,Michael,Principal,Full Time,Administration,8,20,14-Feb-1972,JAM,PhD,Education Leadership,30,Yes,No,M
Kingston Community College,Jamaica,Clarke,Anita,TT,Full Time,Mathematics,30,9,03-Nov-1989,JAM,MSc,Applied Maths,52,Yes,No,F
Kingston Community College,Jamaica,Daley,Marcus,TT,Full Time,Information Technology,26,5,17-Jun-1994,JAM,BSc,Networking,24,Yes,No,M
Kingston Community College,Jamaica,Edwards,Grace,HOD,Full Time,Biology,24,14,09-Mar-1981,JAM,Masters,Life Sciences,36,Yes,No,F
Kingston Community College,Jamaica,Foster,Andre,TT,Full Time,Chemistry,27,7,11-May-1991,JAM,BSc,Chemistry,16,Yes,No,M
Kingston Community College,Jamaica,Grant,Patricia,TT,Full Time,English,29,11,02-Jan-1984,JAM,PhD,Literature,44,Yes,No,F
Montego Bay Teachers College,Jamaica,Henry,Rohan,TT,Part Time,Music,12,2,28-Oct-1996,JAM,CAPE,Performing Arts,0,No,No,M
Montego Bay Teachers College,Jamaica,Irving,Cynthia,TT,Full Time,Carpentry CVQ,18,6,21-Jul-1990,JAM,Diploma,Construction,0,No,Yes,F
Montego Bay Teachers College,Jamaica,James,Kevin,HOD,Full Time,Business,24,16,02-Apr-1977,JAM,Bachelors,Accounting,12,Yes,No,M
Montego Bay Teachers College,Jamaica,Kelly,Donna,TT,Full Time,Welding CVQ,20,4,30-Sep-1992,JAM,Diploma,Metalwork,0,No,Yes,F
Montego Bay Teachers College,Jamaica,Lewis,Paul,TT,Part Time,Agriculture,14,3,19-Apr-1995,JAM,CAPE,Crop Science,4,No,No,M
Montego Bay Teachers College,Jamaica,Morgan,Sandra,VP,Full Time,Mathematics,22,18,07-Dec-1979,JAM,Masters,Mathematics,20,Yes,No,F
Montego Bay Teachers College,Jamaica,Nelson,Garth,TT,Full Time,Plumbing CVQ,21,5,15-Aug-1991,JAM,Diploma,Plumbing,0,No,No,M
Sir Arthur Lewis Community College,Saint Lucia,Pierre,Daniel,HOD,Full Time,Information Technology,26,10,17-Jun-1986,LCA,Masters,Networking,28,Yes,No,Male
Sir Arthur Lewis Community College,Saint Lucia,Joseph,Marie,TT,Full Time,Nursing,29,8,03-Nov-1990,LCA,BSc,Nursing,32,Yes,No,F
Sir Arthur Lewis Community College,Saint Lucia,Charles,Anton,TT,Full Time,Hospitality,24,4,21-Jul-1993,LCA,Diploma,Tourism,8,No,No,M
Sir Arthur Lewis Community College,Saint Lucia,Louisy,Grace,Principal,Full Time,Administration,8,22,14-Feb-1971,LCA,PhD,Leadership,16,Yes,No,F
Sir Arthur Lewis Community College,Saint Lucia,Mathurin,Kurt,TT,Part Time,Mathematics,16,3,28-Oct-1996,LCA,Bachelors,Mathematics,0,No,No,M
Sir Arthur Lewis Community College,Saint Lucia,Felix,Cynthia,HOD,Full Time,Business,25,15,02-Jan-1980,LCA,Masters,Accounting,24,Yes,No,F
Sir Arthur Lewis Community College,Saint Lucia,Auguste,Rohan,TT,Full Time,Welding CVQ,20,6,30-Sep-1989,LCA,CAPE,Metalwork,0,No,Yes,M
Sir Arthur Lewis Community College,Saint Lucia,Hippolyte,Dawn,TT,Full Time,English,28,9,11-May-1988,LCA,Bachelors,Literature,20,Yes,No,F
