school_code,country_iso,class,first_name,middle_name,other_names,maiden_name,date_of_birth,gender,age
JM-S1,JM,Grade 4,Ada,Augusta,,Byron,2016-03-10,F,9
JM-S1,JM,Grade 4,Grace,Brewster,Murray,Murray,2016-12-09,F,9
JM-S1,JM,Grade 4,Linus,Benedict,,Torvalds,2016-07-22,M,9
JM-S1,JM,Grade 5,Alan,Mathison,,,2015-06-23,M,10
JM-S1,JM,Grade 5,Radia,,,Perlman,2015-12-18,F,10
JM-S1,JM,Grade 5,Dennis,MacAlistair,,Ritchie,2015-09-09,M,10
JM-S2,JM,Form 4,Katherine,,Coleman,Goble,2011-08-26,F,15
JM-S2,JM,Form 4,Dennis,Wybe,,Allen,2011-05-11,M,15
JM-S2,JM,Form 4,Shafi,,,Goldwasser,2010-11-14,F,15
JM-S2,JM,Form 5,Edsger,Wybe,,Dijkstra,2009-05-11,M,16
JM-S2,JM,Form 5,Barbara,Jean,,Liskov,2009-11-07,F,16
JM-S2,JM,Form 5,Vint,Gray,,Cerf,2009-06-23,M,16
JM-S3,JM,Year 1,Donald,Ervin,,Knuth,2008-01-10,M,18
JM-S3,JM,Year 1,Margaret,,Heafield,Hamilton,2008-08-17,F,18
JM-S3,JM,Year 1,Frances,Elizabeth,,Allen,2008-04-04,F,18
JM-S3,JM,Year 2,John,,,McCarthy,2007-09-04,M,19
JM-S3,JM,Year 2,Hedy,,,Lamarr,2007-04-30,F,19
JM-S3,JM,Year 2,Claude,Elwood,,Shannon,2007-04-30,M,19
LC-S1,LC,Grade 2,Frances,Elizabeth,,Allen,2017-08-04,F,8
LC-S1,LC,Grade 2,Hedy,,,Lamarr,2017-04-30,F,8
LC-S1,LC,Grade 2,Claude,Elwood,,Shannon,2017-11-30,M,8
LC-S1,LC,Grade 3,Tim,John,,Berners-Lee,2016-06-08,M,9
LC-S1,LC,Grade 3,Katherine,Esther,,Johnson,2016-02-12,F,9
LC-S1,LC,Grade 3,John,,,McCarthy,2016-09-04,M,9
LC-S2,LC,Form 4,Dennis,MacAlistair,,Ritchie,2011-09-09,M,15
LC-S2,LC,Form 4,Radia,,,Perlman,2011-12-18,F,15
LC-S2,LC,Form 4,Donald,Ervin,,Knuth,2010-12-10,M,15
LC-S2,LC,Form 5,Vint,Gray,,Cerf,2009-06-23,M,16
LC-S2,LC,Form 5,Shafi,,,Goldwasser,2009-11-14,F,16
LC-S2,LC,Form 5,Barbara,Jean,,Liskov,2009-08-07,F,16
LC-S3,LC,Year 1,Margaret,,Heafield,Hamilton,2008-08-17,F,18
LC-S3,LC,Year 1,Ada,Augusta,,Byron,2008-03-10,F,18
LC-S3,LC,Year 1,Linus,Benedict,,Torvalds,2008-07-22,M,18
LC-S3,LC,Year 2,Grace,Brewster,Murray,Murray,2007-12-09,F,19
LC-S3,LC,Year 2,Alan,Mathison,,,2007-06-23,M,19
LC-S3,LC,Year 2,Edsger,Wybe,,Dijkstra,2007-05-11,M,19
