first_name,middle_name,other_names,maiden_name,date_of_birth,gender,last_updated,age
Ada,Augusta,,Byron,2016-03-10,F,2026-06-16,9
Alan,Mathison,,,2015-06-23,M,2026-06-16,10
Grace,Brewster,Murray,Murray,2017-12-09,F,2026-06-16,8
Katherine,,Coleman,Goble,2016-08-26,F,2026-06-16,9
Edsger,Wybe,,Dijkstra,2014-05-11,M,2026-06-16,12
Barbara,Jean,,Liskov,2013-11-07,F,2026-06-16,12
Donald,Ervin,,Knuth,2012-01-10,M,2026-06-16,14
Margaret,,Heafield,Hamilton,2011-08-17,F,2026-06-16,14
John,,,McCarthy,2010-09-04,M,2026-06-16,15
Frances,Elizabeth,,Allen,2009-08-04,F,2026-06-16,16
Tim,John,,Berners-Lee,2008-06-08,M,2026-06-16,17
Radia,,,Perlman,2007-12-18,F,2026-06-16,18
Vint,Gray,,Cerf,2007-06-23,M,2026-06-16,18
Shafi,,,Goldwasser,2008-11-14,F,2026-06-16,17
Dennis,MacAlistair,,Ritchie,2010-09-09,M,2026-06-16,15
Charles,,,Babbage,1991-12-26,Male,2026-06-16,25
Edith,Hilda,,Clarke,2018-04-01,Unknown,2026-06-16,nine
,Linus,Benedict,Torvalds,2012-12-28,M,2026-06-16,13
Hedy,,,Lamarr,not-a-date,F,2026-06-16,11
Claude,Elwood,,Shannon,2013-04-30,X,2026-06-16,42
